
## 5. Current 3D Topology Canvas — Professional-Grade Improvements

### 5.1 Rendering Quality

| # | Improvement | Current State | Professional Standard |
| 5.4.3 | **Flow direction arrows** | None | Small arrows along pipe centerlines indicating flow direction (derived from component sequence). |
| 5.4.4 | **Dimension overlay** | No dimensions shown | Toggle dimension lines between consecutive components showing distance in mm. |
| 5.4.5 | **Status bar** | None | Bottom status bar: component count, selected count, gaps found, current zoom level, cursor world coordinates. |
| 5.4.6 | **Color scheme selector** | Fixed color per type | Dropdown to switch color schemes: "By Type" (default), "By Line Key", "By Status" (OK/Gap/Error), "By Bore Size" (gradient). |

### 5.5 Layout and Panels

| # | Improvement | Current State | Professional Standard |
|---|-------------|---------------|----------------------|
| 5.5.1 | **Resizable split** | Fixed 40/60 split, no drag handle | Add a draggable splitter bar between left panel and 3D canvas. Double-click splitter to reset to default ratio. |
| 5.5.2 | **Dockable panels** | Control panel fixed at top-right | Make property panel, gap list, and component list dockable: drag to left, right, bottom, or float as a window. |
| 5.5.3 | **Fullscreen canvas** | No fullscreen mode for the 3D canvas | Add fullscreen button (top-right of canvas). Press `F11` or button → canvas fills entire viewport. ESC to exit. |
| 5.5.4 | **Panel collapse** | Panels have expand/collapse arrows | Add keyboard shortcuts for panel toggles: `P` = Properties, `G` = Gap list, `T` = Table, `F` = Fullscreen. |
| 5.5.5 | **Dark/Light theme** | Dark theme only | Add light theme option for printable screenshots and user preference. Toggle in settings. |

### 5.6 Performance

| # | Improvement | Current State | Professional Standard |
|---|-------------|---------------|----------------------|
| 5.6.1 | **Level of Detail (LOD)** | All components rendered at full detail regardless of distance | Implement LOD: far components rendered as simple lines, medium as low-poly cylinders (8 segments), close as full detail (16 segments). |
| 5.6.2 | **Instanced rendering** | Each component creates its own geometry | Use `InstancedMesh` for components of the same type and bore — single draw call for all pipes, single for all bends, etc. |
| 5.6.3 | **Frustum culling** | Three.js default frustum culling | Already handled by Three.js, but ensure bounding spheres are computed for all meshes. |
| 5.6.4 | **Geometry pooling** | New geometry created per component | Create geometry pools per type+bore combination. Reuse cylinder geometries across all pipes of the same bore. |
| 5.6.5 | **Progressive rendering** | All components rendered on first frame | For large models (1000+ components), render in batches of 50 per frame to avoid frame drops during initial load. |

---

