Name of the element,Reference of the element,"Type of the element, ignoring UDET, truncated to 4 or 6 characters",Component spec reference,PIPE,Position,,Etemp,Ntemp,Ntemp
"BTRM-1000-10""-P1710022-66620M0-01",=67132086/1553,PIPE,,"BTRM-1000-10""-P1710022-66620M0-01",,,,,
"BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1554,BRAN,,"BTRM-1000-10""-P1710022-66620M0-01",,,,,
"WELD 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1555,WELD,66620M0r01-GAS1/FDWD-250,"BTRM-1000-10""-P1710022-66620M0-01",E 155000mm N 152977.4mm U 1336.5mm,,,,
ileave tube of =67132086/1555,=67132086/1555,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 155000mm N 152738.7mm U 1336.5mm,,,,
PS-171009.1,=67132086/1556,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710022-66620M0-01",E 155000mm N 152500mm U 1336.5mm,,,,
PS-171009.3,=67132086/1557,ATTA,MDS/GT575-250-PMP,"BTRM-1000-10""-P1710022-66620M0-01",E 155000mm N 152500mm U 1336.5mm,,,,
PS-171009.2,=67132086/1558,ATTA,MDS/GT573-250-PMP,"BTRM-1000-10""-P1710022-66620M0-01",E 155000mm N 152500mm U 1336.5mm,,,,
ileave tube of /PS-171009.2,=67132086/1558,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 155000mm N 152185.25mm U 1336.5mm,,,,
"FBLIND 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1559,FBLI,66620M0r01-GAS1/BLFL-250,"BTRM-1000-10""-P1710022-66620M0-01",E 155000mm N 151800mm U 1336.5mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1560,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710022-66620M0-01",E 155000mm N 151800mm U 1336.5mm,,,,
17-VBL-20021,=67132086/1561,VALV,66620M0r01-GAS1/BTFF-250,"BTRM-1000-10""-P1710022-66620M0-01",E 155000mm N 151403.3mm U 1336.5mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1562,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710022-66620M0-01",E 155000mm N 151009.8mm U 1336.5mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1563,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710022-66620M0-01",E 155000mm N 151006.6mm U 1336.5mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1564,ELBO,66620M0r01-GAS1/E90B-250,"BTRM-1000-10""-P1710022-66620M0-01",E 155000mm N 150466.6mm U 1336.5mm,,,,
ileave tube of =67132086/1564,=67132086/1564,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 156240.494mm N 150466.6mm U 1336.5mm,,,,
PS-171010.1,=67132086/1565,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710022-66620M0-01",E 157099.987mm N 150466.6mm U 1336.5mm,,,,
PS-171010.2,=67132086/1566,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710022-66620M0-01",E 157099.987mm N 150466.6mm U 1336.5mm,,,,
ileave tube of /PS-171010.2,=67132086/1566,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 157459.494mm N 150466.6mm U 1336.5mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1567,ELBO,66620M0r01-GAS1/E90B-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 150466.6mm U 1336.5mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1568,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 151006.6mm U 1336.5mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1569,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 151006.6mm U 1336.5mm,,,,
17-VCH-20002,=67132086/1570,VALV,66620M0r01-GAS1/CHVF-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 151403.3mm U 1336.5mm,,,,
"GASKET 4 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1571,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 151796.8mm U 1336.5mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1572,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 151800mm U 1336.5mm,,,,
ileave tube of =67132086/1572,=67132086/1572,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 152021.5mm U 1336.5mm,,,,
"OLET 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1573,OLET,66620M0r01-GAS1/BR3B-250x50,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 152084mm U 1336.5mm,,,,
ileave tube of =67132086/1573,=67132086/1573,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 152215.5mm U 1336.5mm,,,,
PS-171011.2,=67132086/1574,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 152347mm U 1336.5mm,,,,
PS-171011.4,=67132086/1575,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 152347mm U 1336.5mm,,,,
ileave tube of /PS-171011.4,=67132086/1575,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 152634.7mm U 1336.5mm,,,,
"FLANGE 4 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1576,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 153081.4mm U 1336.5mm,,,,
"GASKET 5 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1577,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 153081.4mm U 1336.5mm,,,,
17-VBL-20022,=67132086/1578,VALV,66620M0r01-GAS1/BTRF-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 153478.1mm U 1336.5mm,,,,
"GASKET 6 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1579,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 153871.6mm U 1336.5mm,,,,
"PCOMPONENT 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1580,PCOM,66620M0r01-GAS1/SPNF-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 153874.8mm U 1336.5mm,,,,
"GASKET 7 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1581,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 153909.9mm U 1336.5mm,,,,
"FLANGE 5 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1582,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 153913.1mm U 1336.5mm,,,,
ileave tube of =67132086/1582,=67132086/1582,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154168.55mm U 1336.5mm,,,,
PS-171015.3,=67132086/1583,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154265mm U 1336.5mm,,,,
PS-171015.6,=67132086/1584,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154265mm U 1336.5mm,,,,
PS-171015.4,=67132086/1585,ATTA,MDS/GT573-250-PMP,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154265mm U 1336.5mm,,,,
ileave tube of /PS-171015.4,=67132086/1585,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154399.4mm U 1336.5mm,,,,
"OLET 2 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1586,OLET,66620M0r01-GAS1/BR3B-250x50,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154533.8mm U 1336.5mm,,,,
ileave tube of =67132086/1586,=67132086/1586,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154608.8mm U 1336.5mm,,,,
"TEE 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1587,TEE,66620M0r01-GAS1/TEEB-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154899.8mm U 1336.5mm,,,,
"FLANGE 6 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1588,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 155274.8mm U 1336.5mm,,,,
"GASKET 8 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1589,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 155274.8mm U 1336.5mm,,,,
17-MOV-10004A,=67132086/1590,INST,SPCOM-INST-600#/MOVI-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 155671.5mm U 1336.5mm,,,,
"GASKET 9 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1591,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 156065mm U 1336.5mm,,,,
"FLANGE 7 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1592,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 156068.2mm U 1336.5mm,,,,
ileave tube of =67132086/1592,=67132086/1592,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 156667.6mm U 1336.5mm,,,,
PS-171016.1,=67132086/1593,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 157108mm U 1336.5mm,,,,
PS-171016.6,=67132086/1594,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 157108mm U 1336.5mm,,,,
ileave tube of /PS-171016.6,=67132086/1594,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 157699.25mm U 1336.5mm,,,,
"ELBOW 3 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B1",=67132086/1595,ELBO,66620M0r01-GAS1/E45B-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 158449.5mm U 1336.5mm,,,,
ileave tube of =67132086/1595,=67132086/1595,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 158619.202mm U 1166.798mm,,,,
"BTRM-1000-10""-P1710022-66620M0-01/B2",=67132086/1596,BRAN,,"BTRM-1000-10""-P1710022-66620M0-01",,,,,
"REDUCER 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B2",=67132086/1597,REDU,66620M0r01-GAS1/RECB-50x25,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154533.8mm U 1161.9mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B2",=67132086/1598,FLAN,66620M0r01-GAS1/WNFL-25,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154533.8mm U 1016.9mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B2",=67132086/1599,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154533.8mm U 1016.9mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B2",=67132086/1600,VALV,66620M0r01-GAS1/BARFL-25,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154533.8mm U 905.7mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B2",=67132086/1601,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154533.8mm U 797.7mm,,,,
"FBLIND 1 of BRANCH /BTRM-1000-10""-P1710022-66620M0-01/B2",=67132086/1602,FBLI,66620M0r01-GAS1/BLFL-25,"BTRM-1000-10""-P1710022-66620M0-01",E 158200mm N 154533.8mm U 794.5mm,,,,
"BTRM-1000-10""-P1710012-66620M0-01",=67132086/1603,PIPE,,"BTRM-1000-10""-P1710012-66620M0-01",,,,,
"BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1604,BRAN,,"BTRM-1000-10""-P1710012-66620M0-01",,,,,
"WELD 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1605,WELD,66620M0r01-GAS1/FDWD-250,"BTRM-1000-10""-P1710012-66620M0-01",E 150000mm N 152977.4mm U 1336.5mm,,,,
ileave tube of =67132086/1605,=67132086/1605,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 150000mm N 152738.7mm U 1336.5mm,,,,
PS-171001.1,=67132086/1606,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710012-66620M0-01",E 150000mm N 152500mm U 1336.5mm,,,,
PS-171001.3,=67132086/1607,ATTA,MDS/GT576-250-PMP,"BTRM-1000-10""-P1710012-66620M0-01",E 150000mm N 152500mm U 1336.5mm,,,,
PS-171001.2,=67132086/1608,ATTA,MDS/GT573-250-PMP,"BTRM-1000-10""-P1710012-66620M0-01",E 150000mm N 152500mm U 1336.5mm,,,,
ileave tube of /PS-171001.2,=67132086/1608,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 150000mm N 152185.25mm U 1336.5mm,,,,
"FBLIND 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1609,FBLI,66620M0r01-GAS1/BLFL-250,"BTRM-1000-10""-P1710012-66620M0-01",E 150000mm N 151800.001mm U 1336.5mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1610,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710012-66620M0-01",E 150000mm N 151800.001mm U 1336.5mm,,,,
17-VBL-20011,=67132086/1611,VALV,66620M0r01-GAS1/BTFF-250,"BTRM-1000-10""-P1710012-66620M0-01",E 150000mm N 151403.301mm U 1336.5mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1612,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710012-66620M0-01",E 150000mm N 151009.801mm U 1336.5mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1613,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710012-66620M0-01",E 150000mm N 151006.601mm U 1336.5mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1614,ELBO,66620M0r01-GAS1/E90B-250,"BTRM-1000-10""-P1710012-66620M0-01",E 150000mm N 150466.601mm U 1336.5mm,,,,
ileave tube of =67132086/1614,=67132086/1614,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 151240.494mm N 150466.601mm U 1336.5mm,,,,
PS-171002.1,=67132086/1615,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710012-66620M0-01",E 152099.987mm N 150466.601mm U 1336.5mm,,,,
PS-171002.2,=67132086/1616,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710012-66620M0-01",E 152099.987mm N 150466.601mm U 1336.5mm,,,,
ileave tube of /PS-171002.2,=67132086/1616,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 152459.494mm N 150466.601mm U 1336.5mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1617,ELBO,66620M0r01-GAS1/E90B-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 150466.601mm U 1336.5mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1618,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 151006.601mm U 1336.5mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1619,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 151006.601mm U 1336.5mm,,,,
17-VCH-20001,=67132086/1620,VALV,66620M0r01-GAS1/CHVF-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 151403.301mm U 1336.5mm,,,,
"GASKET 4 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1621,GASK,66620M0r01-GAS1/GKSW-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 151796.801mm U 1336.5mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1622,FLAN,66620M0r01-GAS1/WNFL-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 151800.001mm U 1336.5mm,,,,
ileave tube of =67132086/1622,=67132086/1622,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 152021.5mm U 1336.5mm,,,,
"OLET 1 of BRANCH /BTRM-1000-10""-P1710012-66620M0-01/B1",=67132086/1623,OLET,66620M0r01-GAS1/BR3B-250x50,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 152084mm U 1336.5mm,,,,
ileave tube of =67132086/1623,=67132086/1623,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 152215.5mm U 1336.5mm,,,,
PS-171003.2,=67132086/1624,ATTA,MDS/PIPE-REST.10-PMP,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 152347mm U 1336.5mm,,,,
PS-171003.4,=67132086/1625,ATTA,MDS/AN578-250-PMP,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 152347mm U 1336.5mm,,,,
ileave tube of /PS-171003.4,=67132086/1625,TUBI,66620M0r01-GAS1/PIPE-250,"BTRM-1000-10""-P1710012-66620M0-01",E 153200mm N 152634.7mm U 1336.5mm,,,,
