Piping Class,Size,SCH,Wall thickness,Material_Name,PMSMat_Categories,PMSMat_Cat,Rating,Corrosion
11001-KS,0.75,80,3.9116,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,1,80,4.5466,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,1.5,80,5.08,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,2,40,3.9116,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,3,40,5.4864,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,4,40,6.0198,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,6,40,7.112,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,8,20,6.35,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,10,20,6.35,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,12,20,6.35,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,14,20,7.9248,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,16,20,7.9248,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,18,20,7.9248,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,20,20,9.525,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,24,20,9.525,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11001-KS,16,20,7.9248,ASTM A671-CC65 cl 22,Carbon steel F-Gr,CS,150,1
11001-KS,18,20,7.9248,ASTM A671-CC65 cl 22,Carbon steel F-Gr,CS,150,1
11001-KS,20,20,9.525,ASTM A671-CC65 cl 22,Carbon steel F-Gr,CS,150,1
11001-KS,24,20,9.525,ASTM A671-CC65 cl 22,Carbon steel F-Gr,CS,150,1
11001-KS,30,10,7.9248,ASTM A671-CC65 cl 22,Carbon steel F-Gr,CS,150,1
11001-KS,36,10,7.9248,ASTM A671-CC65 cl 22,Carbon steel F-Gr,CS,150,1
11001-KS,42,STD,9.525,ASTM A671-CC65 cl 22,Carbon steel F-Gr,CS,150,1
11001-KS,48,STD,9.525,ASTM A671-CC65 cl 22,Carbon steel F-Gr,CS,150,1
11001-LNG,0.5,80,3.7338,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,0.75,80,3.9116,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,1,80,4.5466,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,1.5,80,5.08,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,2,40,3.9116,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,3,40,5.4864,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,4,40,6.0198,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,6,40,7.112,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,8,20,6.35,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,10,20,6.35,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,12,20,6.35,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,14,20,7.9248,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,16,20,7.9248,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,18,20,7.9248,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,20,20,9.525,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,24,20,9.525,ASTM A106-B,Carbon steel,CS,150,1
11001-LNG,16,20,7.9248,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001-LNG,18,20,7.9248,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001-LNG,20,20,9.525,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001-LNG,24,20,9.525,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001-LNG,30,10,7.9248,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001-LNG,36,10,7.9248,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001-LNG,42,STD,9.525,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001-LNG,48,STD,9.525,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11001-LNG,4,40,6.0198,API 5L-B (sml),Carbon steel,CS,150,1
11001-LNG,6,40,7.112,API 5L-B (erw),Carbon steel,CS,150,1
11001-LNG,8,20,6.35,API 5L-B (erw),Carbon steel,CS,150,1
11001-LNG,10,20,6.35,API 5L-B (erw),Carbon steel,CS,150,1
11001-LNG,12,20,6.35,API 5L-B (erw),Carbon steel,CS,150,1
11001-LNG,14,20,7.9248,API 5L-B (erw),Carbon steel,CS,150,1
11001-LNG,16,20,7.9248,API 5L-B (erw),Carbon steel,CS,150,1
11001-LNG,18,20,7.9248,API 5L-B (erw),Carbon steel,CS,150,1
11001-LNG,20,20,9.525,API 5L-B (erw),Carbon steel,CS,150,1
11001-LNG,24,20,9.525,API 5L-B (saw),Carbon steel,CS,150,1
11002,0.5,80,3.7338,ASTM A106-B,Carbon steel [A],CS,150,1
11002,0.75,80,3.9116,ASTM A106-B,Carbon steel [A],CS,150,1
11002,1,80,4.5466,ASTM A106-B,Carbon steel [A],CS,150,1
11002,1.5,80,5.08,ASTM A106-B,Carbon steel [A],CS,150,1
11002,2,40,3.9116,ASTM A106-B,Carbon steel [A],CS,150,1
11002,3,40,5.4864,ASTM A106-B,Carbon steel [A],CS,150,1
11002,4,40,6.0198,ASTM A106-B,Carbon steel [A],CS,150,1
11002,6,40,7.112,ASTM A106-B,Carbon steel [A],CS,150,1
11002,8,20,6.35,ASTM A106-B,Carbon steel [A],CS,150,1
11002,10,20,6.35,ASTM A106-B,Carbon steel [A],CS,150,1
11002,12,20,6.35,ASTM A106-B,Carbon steel [A],CS,150,1
11002,14,20,7.9248,ASTM A106-B,Carbon steel [A],CS,150,1
11002,16,20,7.9248,ASTM A106-B,Carbon steel [A],CS,150,1
11002,18,20,7.9248,ASTM A106-B,Carbon steel [A],CS,150,1
11002,20,20,9.525,ASTM A106-B,Carbon steel [A],CS,150,1
11002,24,20,9.525,ASTM A106-B,Carbon steel [A],CS,150,1
11002,16,20,7.9248,ASTM A672-C65 cl22,Carbon steel [A],CS,150,1
11002,18,20,7.9248,ASTM A672-C65 cl22,Carbon steel [A],CS,150,1
11002,20,20,9.525,ASTM A672-C65 cl22,Carbon steel [A],CS,150,1
11002,24,20,9.525,ASTM A672-C65 cl22,Carbon steel [A],CS,150,1
11002,4,40,6.0198,API 5L-B (sml),Carbon steel [A],CS,150,1
11002,6,40,7.112,API 5L-B (erw),Carbon steel [A],CS,150,1
11002,8,20,6.35,API 5L-B (erw),Carbon steel [A],CS,150,1
11002,10,20,6.35,API 5L-B (erw),Carbon steel [A],CS,150,1
11002,12,20,6.35,API 5L-B (erw),Carbon steel [A],CS,150,1
11002,14,20,7.9248,API 5L-B (erw),Carbon steel [A],CS,150,1
11002,16,20,7.9248,API 5L-B (erw),Carbon steel [A],CS,150,1
11002,18,20,7.9248,API 5L-B (erw),Carbon steel [A],CS,150,1
11002,20,20,9.525,API 5L-B (erw),Carbon steel [A],CS,150,1
11002,24,20,9.525,API 5L-B (saw),Carbon steel [A],CS,150,1
11002-KS,0.5,80,3.7338,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,0.75,80,3.9116,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,1,80,4.5466,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,1.5,80,5.08,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,2,40,3.9116,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,3,40,5.4864,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,4,40,6.0198,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,6,40,7.112,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,8,20,6.35,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,10,20,6.35,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,12,20,6.35,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,14,20,7.9248,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,16,20,7.9248,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,18,20,7.9248,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,20,20,9.525,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,24,20,9.525,ASTM A333-6,Carbon steel F-Gr [A],CS,150,1
11002-KS,16,20,7.9248,ASTM A671-CC65 cl 22,Carbon steel F-Gr [A],CS,150,1
11002-KS,18,20,7.9248,ASTM A671-CC65 cl 22,Carbon steel F-Gr [A],CS,150,1
11002-KS,20,20,9.525,ASTM A671-CC65 cl 22,Carbon steel F-Gr [A],CS,150,1
11002-KS,24,20,9.525,ASTM A671-CC65 cl 22,Carbon steel F-Gr [A],CS,150,1
11003,0.5,160,4.7752,ASTM A106-B,Carbon steel [A],CS,150,3
11003,0.75,160,5.5626,ASTM A106-B,Carbon steel [A],CS,150,3
11003,1,160,6.35,ASTM A106-B,Carbon steel [A],CS,150,3
11003,1.5,160,7.1374,ASTM A106-B,Carbon steel [A],CS,150,3
11003,2,80,5.5372,ASTM A106-B,Carbon steel [A],CS,150,3
11003,3,80,7.62,ASTM A106-B,Carbon steel [A],CS,150,3
11003,4,40,6.0198,ASTM A106-B,Carbon steel [A],CS,150,3
11003,6,40,7.112,ASTM A106-B,Carbon steel [A],CS,150,3
11003,8,30,7.0358,ASTM A106-B,Carbon steel [A],CS,150,3
11003,10,30,7.7978,ASTM A106-B,Carbon steel [A],CS,150,3
11003,12,30,8.382,ASTM A106-B,Carbon steel [A],CS,150,3
11003,14,20,7.9248,ASTM A106-B,Carbon steel [A],CS,150,3
11003,16,20,7.9248,ASTM A106-B,Carbon steel [A],CS,150,3
11003,18,20,7.9248,ASTM A106-B,Carbon steel [A],CS,150,3
11003,20,20,9.525,ASTM A106-B,Carbon steel [A],CS,150,3
11003,24,20,9.525,ASTM A106-B,Carbon steel [A],CS,150,3
11003-KS,0.5,160,4.7752,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,0.75,160,5.5626,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,1,160,6.35,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,1.5,160,7.1374,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,2,80,5.5372,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,3,80,7.62,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,4,40,6.0198,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,6,40,7.112,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,8,30,7.0358,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,10,30,7.7978,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,12,30,8.382,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,14,20,7.9248,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,16,20,7.9248,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,18,20,7.9248,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,20,20,9.525,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11003-KS,24,20,9.525,ASTM A333-6,Carbon steel F-Gr [A],CS,150,3
11004,0.5,80,3.7338,ASTM A106-B,Carbon steel,CS,150,1
11004,0.75,80,3.9116,ASTM A106-B,Carbon steel,CS,150,1
11004,1,80,4.5466,ASTM A106-B,Carbon steel,CS,150,1
11004,1.5,80,5.08,ASTM A106-B,Carbon steel,CS,150,1
11004,2,40,3.9116,ASTM A106-B,Carbon steel,CS,150,1
11004,3,40,5.4864,ASTM A106-B,Carbon steel,CS,150,1
11004,4,40,6.0198,ASTM A106-B,Carbon steel,CS,150,1
11004,6,40,7.112,ASTM A106-B,Carbon steel,CS,150,1
11004,8,20,6.35,ASTM A106-B,Carbon steel,CS,150,1
11004,10,20,6.35,ASTM A106-B,Carbon steel,CS,150,1
11004,12,20,6.35,ASTM A106-B,Carbon steel,CS,150,1
11004,14,20,7.9248,ASTM A106-B,Carbon steel,CS,150,1
11004,16,20,7.9248,ASTM A106-B,Carbon steel,CS,150,1
11004,18,20,7.9248,ASTM A106-B,Carbon steel,CS,150,1
11004,20,20,9.525,ASTM A106-B,Carbon steel,CS,150,1
11004,24,20,9.525,ASTM A106-B,Carbon steel,CS,150,1
11004,16,20,7.9248,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11004,18,20,7.9248,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11004,20,20,9.525,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11004,24,20,9.525,ASTM A672-C65 cl22,Carbon steel,CS,150,1
11004-KS,0.5,80,3.7338,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,0.75,80,3.9116,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,1,80,4.5466,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,1.5,80,5.08,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,2,40,3.9116,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,3,40,5.4864,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,4,40,6.0198,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,6,40,7.112,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,8,20,6.35,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,10,20,6.35,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,12,20,6.35,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,14,20,7.9248,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,16,20,7.9248,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,18,20,7.9248,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,20,20,9.525,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,24,20,9.525,ASTM A333-6,Carbon steel F-Gr,CS,150,1
11004-KS,16,20,7.9248,ASTM A671-CC65 cl 22,Carbon steel F-Gr,CS,150,1
11004-KS,18,20,7.9248,ASTM A671-CC65 cl 22,Carbon steel F-Gr,CS,150,1
11004-KS,20,20,9.525,ASTM A671-CC65 cl 22,Carbon steel F-Gr,CS,150,1
11004-KS,24,20,9.525,ASTM A671-CC65 cl 22,Carbon steel F-Gr,CS,150,1
11005,0.5,80,3.7338,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,0.75,80,3.9116,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,1,80,4.5466,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,1.5,80,5.08,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,2,40,3.9116,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,3,40,5.4864,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,4,40,6.0198,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,6,40,7.112,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,8,20,6.35,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,10,20,6.35,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,12,20,6.35,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,14,20,7.9248,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,16,20,7.9248,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,18,20,7.9248,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,20,20,9.525,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11005,24,20,9.525,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,1
11007,0.5,160,4.7752,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,0.75,160,5.5626,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,1,160,6.35,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,1.5,160,7.1374,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,2,80,5.5372,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,3,80,7.62,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,4,40,6.0198,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,6,40,7.112,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,8,30,7.0358,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,10,30,7.7978,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,12,30,8.382,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,14,20,7.9248,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,16,20,7.9248,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,18,20,7.9248,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,20,20,9.525,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007,24,20,9.525,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,0.5,160,4.7752,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,0.75,160,5.5626,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,1,160,6.35,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,1.5,160,7.1374,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,2,80,5.5372,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,3,80,7.62,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,4,40,6.0198,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,6,40,7.112,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,8,30,7.0358,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,10,30,7.7978,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,12,30,8.382,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,14,20,7.9248,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,16,20,7.9248,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,18,20,7.9248,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,20,20,9.525,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11007-LNG,24,20,9.525,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,0.5,160,4.7752,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,0.75,160,5.5626,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,1,160,6.35,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,1.5,160,7.1374,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,2,80,5.5372,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,3,80,7.62,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,4,40,6.0198,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,6,40,7.112,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,8,30,7.0358,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,10,30,7.7978,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,12,30,8.382,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,14,20,7.9248,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,16,20,7.9248,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,18,20,7.9248,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,20,20,9.525,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008,24,20,9.525,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008-KS,0.5,160,4.7752,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,0.75,160,5.5626,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,1,160,6.35,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,1.5,160,7.1374,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,2,80,5.5372,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,3,80,7.62,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,4,40,6.0198,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,6,40,7.112,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,8,30,7.0358,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,10,30,7.7978,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,12,30,8.382,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,14,20,7.9248,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,16,20,7.9248,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,18,20,7.9248,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,20,20,9.525,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-KS,24,20,9.525,ASTM A333-6 ENVIRONM. CRACKING,Carbon st F-Gr M-Sour PWHT,CS,150,3
11008-LNG,0.5,160,4.7752,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008-LNG,0.75,160,5.5626,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
11008-LNG,1,160,6.35,ASTM A106-B,Carbon steel M-Sour PWHT,CS,150,3
